"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","64013571240","4965171420","2331987","129860","3337011","121472","9421","12.89",""
"2","","Call of Duty: Warzone","48682842480","3343831380","951957","31506","2097696","92380","6345","14.56",""
"3","","League of Legends","93212191920","2296398960","2020835","8877","1169268","176879","4357","40.59",""
"4","","Just Chatting","119753461740","1707539220","1117874","12126","1638364","227244","3240","70.13",""
"5","","VALORANT","48882166380","1693870500","1728977","16287","1194680","92759","3214","28.86",""
"6","","Apex Legends","19203037200","1462073640","283368","9790","995730","36439","2774","13.13",""
"7","","Minecraft","30645919800","1219884840","591932","7060","1503780","58153","2314","25.12",""
"8","","Grand Theft Auto V","49453644120","1013682300","389147","6530","925013","93843","1923","48.79",""
"9","","Counter-Strike: Global Offensive","42824974860","971021340","828949","5542","926843","81264","1842","44.1",""
"10","","World of Warcraft","27233166540","934191960","933430","25791","326049","51677","1772","29.15",""
"11","","Tom Clancy's Rainbow Six Siege","8840256900","821721000","234650","3779","842296","16775","1559","10.76",""
"12","","Dead by Daylight","11999107680","605573220","128138","3242","389519","22769","1149","19.81",""
"13","","Overwatch","10250580540","593892300","194372","2489","469078","19451","1126","17.26",""
"14","","Escape from Tarkov","23946123060","584089740","418894","4195","205207","45440","1108","41",""
"15","","Destiny 2","6076798740","496661340","402791","20975","291662","11531","942","12.24",""
"16","","Rocket League","8398644600","478724880","243644","3520","890258","15937","908","17.54",""
"17","","PUBG: BATTLEGROUNDS","9394504200","462218640","120025","1852","296118","17827","877","20.32",""
"18","","Among Us","25179134640","440361660","776257","12317","884829","47780","835","57.18",""
"19","","Music","12313308120","436697040","293752","2892","203825","23365","828","28.2",""
"20","","Dota 2","29829080100","415084200","364279","1758","162924","56603","787","71.86",""
"21","","Call Of Duty: Modern Warfare","1198564980","395989440","161169","11495","445238","2274","751","3.03",""
"22","","Art","5209973760","329222100","109763","1130","231277","9886","624","15.83",""
"23","","Call of Duty: Black Ops Cold War","4975029660","294629160","705050","23867","338777","9440","559","16.89",""
"24","","FIFA 20","10800528720","280455240","365896","4961","345959","20495","532","38.51",""
"25","","NBA 2K20","3210097140","273185280","91296","2188","269510","6091","518","11.75",""
"26","","Fall Guys","10639038660","255406740","713229","7272","601197","20188","484","41.66",""
"27","","Phasmophobia","4539153660","224626320","256449","8907","361893","8613","426","20.21",""
"28","","Genshin Impact","3957681540","224059200","212270","5816","265750","7510","425","17.66",""
"29","","Sea of Thieves","3702729120","205320360","78018","1447","219577","7026","389","18.03",""
"30","","Teamfight Tactics","9951527580","197922060","122784","1567","208347","18884","375","50.28",""
"31","","Final Fantasy XIV Online","1742146980","194015040","41554","2459","80011","3305","368","8.98",""
"32","","FIFA 21","9367150260","177572040","474733","4322","217722","17775","336","52.75",""
"33","","Cyberpunk 2077","3923095500","156453420","1126038","35125","233002","7444","296","25.08",""
"34","","Ark: Survival Evolved","1583680920","154611240","41684","815","124890","3005","293","10.24",""
"35","","NBA 2K21","2402236500","151316640","151940","6873","143570","4558","287","15.88",""
"36","","Roblox","763408260","150036900","127222","1422","237640","1448","284","5.09",""
"37","","Path of Exile","6576335280","146907720","141391","3911","68091","12479","278","44.77",""
"38","","Red Dead Redemption 2","1343933640","145384620","46850","842","164640","2550","275","9.24",""
"39","","Monster Hunter: World","2188943460","143135940","66169","1265","117471","4153","271","15.29",""
"40","","Call of Duty: Black Ops 4","976379760","138754680","62175","741","124022","1852","263","7.04",""
"41","","Hearthstone","16949634600","133428840","159643","1313","96350","32163","253","127.03",""
"42","","Rust","3957699540","132737580","330443","877","114393","7510","251","29.82",""
"43","","SMITE","2716693440","129563280","32960","681","96952","5155","245","20.97",""
"44","","Animal Crossing: New Horizons","4974352320","126166560","244171","4403","95325","9439","239","39.43",""
"45","","osu!","885469380","123534840","35849","468","143824","1680","234","7.17",""
"46","","Rogue Company","1254379260","121032780","146743","2158","209020","2380","229","10.36",""
"47","","Black Desert","2768455860","113675580","68099","554","52111","5253","215","24.35",""
"48","","DayZ","2414226540","110687280","106528","624","90577","4581","210","21.81",""
"49","","World of Tanks","2990510700","110554380","131606","655","54554","5674","209","27.05",""
"50","","Madden NFL 20","960497220","104372940","75160","929","112086","1822","198","9.2",""
